name,lat,lng,tourism,price,image,phone,rsv360:verified,brand,website,whatsapp
"Lagoa Eco Towers",-17.7444,-48.6278,hotel,"R$ 850 - R$ 1062.5","/images/hotels/lagoa-eco-towers/1.webp","","yes","RSV360 Verified","/hoteis/lagoa-eco-towers",""
"Piazza DiRoma",-17.7444,-48.6278,hotel,"R$ 260 - R$ 325","/images/hotels/piazza-diroma/1.webp","","yes","RSV360 Verified","/hoteis/piazza-diroma",""
"Spazzio DiRoma",-17.7444,-48.6278,hotel,"R$ 250 - R$ 312.5","/images/hotels/spazzio-diroma/1.webp","","yes","RSV360 Verified","/hoteis/spazzio-diroma",""
"Hotel Taiyo Premium",-17.4852,-48.6241,hotel,"250-450 BRL","https://imgur.com/taiyo.jpg","+556436232121","yes","RSV360 Verified","www.taiyo.com.br","+5564999999999"
"Prive Lago dos Cisnes",-17.4848,-48.6235,hotel,"300-550 BRL","https://imgur.com/lago-cisnes.jpg","+556436232300","yes","RSV360 Verified","www.privelago.com.br","+5564999999901"
"Hotel Inacai Business",-17.4861,-48.6229,hotel,"180-350 BRL","https://imgur.com/inacai.jpg","+556436231234","yes","RSV360 Verified","www.inacai.com.br","+5564999999902"
"Hotel Pousada Vitória",-17.487,-48.6238,hotel,"150-280 BRL","https://imgur.com/vitoria.jpg","+556436232456","yes","RSV360 Verified","www.pousadavitoria.com.br","+5564999999903"
"Hotel Águas Quentes",-17.4839,-48.6251,hotel,"220-400 BRL","https://imgur.com/aguas-quentes.jpg","+556436231100","yes","RSV360 Verified","www.hotelaguasquentes.com.br","+5564999999904"
"Óleo e Uvas Eco Hotel",-17.4885,-48.6212,hotel,"280-500 BRL","https://imgur.com/oleouvas.jpg","+556436233333","yes","RSV360 Verified","www.oleouvas.com.br","+5564999999905"
"Hotel Fazenda Taiyo",-17.4892,-48.6205,hotel,"320-580 BRL","https://imgur.com/fazenda-taiyo.jpg","+556436234567","yes","RSV360 Verified","www.fazendataiyo.com.br","+5564999999906"
"Park Lago Club Hotel",-17.4821,-48.6263,hotel,"200-380 BRL","https://imgur.com/parklago.jpg","+556436235678","yes","RSV360 Verified","www.parklago.com.br","+5564999999907"
"Hotel Panorama",-17.4878,-48.6247,hotel,"160-300 BRL","https://imgur.com/panorama.jpg","+556436236789","yes","RSV360 Verified","www.hotelpanorama.com.br","+5564999999908"
"Hotel Morada dos Pássaros",-17.4815,-48.6271,hotel,"260-480 BRL","https://imgur.com/moradapassaros.jpg","+556436237890","yes","RSV360 Verified","www.moradapassaros.com.br","+5564999999909"
"Water Park Lagoa Quente",-17.4845,-48.6248,theme_park,"80-120 BRL","https://imgur.com/lagoaquente.jpg","+556436238901","yes","RSV360 Attractions","www.lagoaquente.com.br","+5564999999910"
"Otium Hot Park",-17.4942,-48.6198,theme_park,"120-200 BRL","https://imgur.com/otium.jpg","+556433632525","yes","RSV360 Attractions","www.otiumhotpark.com.br","+5564999999911"
"Japanese Park Taiyo",-17.4858,-48.6232,attraction,"60-100 BRL","https://imgur.com/parquejapones.jpg","+556436239012","yes","RSV360 Attractions","www.parqu Taiyo.com.br","+5564999999912"
"Lago Corumbá IV",-17.4829,-48.6256,attraction,"Grátis","https://imgur.com/lagocorumba.jpg","+556436240123","yes","RSV360 Attractions","www.caldasnovas.go.gov.br","+5564999999913"
"Vila Abaeté",-17.4867,-48.6224,resort,"350-650 BRL","https://imgur.com/vilaabaete.jpg","+556436241234","yes","RSV360 Premium","www.vilaabaete.com.br","+5564999999914"
